id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,goals_scored_5,assists_5
748,0.4,3,0.4,0.08,2.2600000000000002,1.0,0,0
797,0.2,4,0.2,0.0,0.0,0.4,0,0
810,0.0,3,0.0,0.0,0.0,0.0,0,0
826,0.0,3,0.0,0.0,0.0,0.0,0,0
157,45.6,3,0.8,3.28,10.92,6.2,0,0
158,29.4,3,2.0,6.8,11.32,6.6,0,1
159,6.8,3,0.6,1.48,0.43999999999999995,2.8,0,0
160,78.2,3,3.4,15.36,19.02,12.8,1,0
161,0.0,3,0.0,0.0,0.0,0.0,0,0
162,0.0,3,0.0,0.0,0.0,0.0,0,0
163,83.6,3,5.6,23.919999999999998,9.040000000000001,19.0,3,0
164,0.2,3,0.2,0.04,0.0,0.6,0,0
165,0.0,3,0.0,0.0,0.0,0.0,0,0
166,6.0,3,0.6,0.36,0.06000000000000001,1.4,0,0
167,71.2,3,2.8,13.080000000000002,12.66,14.6,0,0
169,16.6,3,0.4,0.2,0.54,0.2,0,0
170,11.6,3,0.2,0.27999999999999997,0.38,1.0,0,0
171,0.0,3,0.0,0.0,0.0,0.0,0,0
172,0.0,3,0.0,0.0,0.0,0.0,0,0
173,30.4,3,0.8,2.12,1.8199999999999998,3.8,0,0
174,0.0,3,0.0,0.0,0.0,0.0,0,0
175,0.0,3,0.0,0.0,0.0,0.0,0,0
176,0.0,3,0.0,0.0,0.0,0.0,0,0
177,0.0,3,0.0,0.0,0.0,0.0,0,0
178,56.8,4,3.2,13.16,4.760000000000001,13.4,1,1
179,0.0,4,0.0,0.0,0.0,0.0,0,0
180,0.0,4,0.0,0.0,0.0,0.0,0,0
181,10.2,4,0.8,2.72,6.94,3.4,0,0
744,0.0,3,0.0,0.0,0.0,0.0,0,0
783,90.0,3,4.2,16.64,36.62,20.8,0,2
795,0.0,3,0.0,0.0,0.0,0.0,0,0
235,71.6,3,2.4,12.52,9.3,10.0,1,0
236,48.4,3,2.6,11.12,12.62,10.4,0,2
237,90.0,3,5.2,25.000000000000004,35.480000000000004,20.6,2,1
238,0.0,3,0.0,0.0,0.0,0.0,0,0
239,0.0,3,0.0,0.0,0.0,0.0,0,0
240,0.0,3,0.0,0.0,0.0,0.0,0,0
241,88.8,3,2.0,11.959999999999999,17.04,15.4,0,0
244,25.8,3,0.6,1.7600000000000002,2.0,5.2,0,0
245,0.0,3,0.0,0.0,0.0,0.0,0,0
246,36.8,3,2.6,11.680000000000001,2.9799999999999995,14.2,1,0
247,3.6,3,0.2,1.3599999999999999,0.36,1.4,0,0
248,0.0,3,0.0,0.0,0.0,0.0,0,0
249,54.0,4,2.2,7.6,3.7600000000000002,7.8,1,0
250,41.8,4,0.8,0.48,0.96,0.6,0,0
251,0.0,4,0.0,0.0,0.0,0.0,0,0
252,3.6,4,0.2,0.0,0.26,0.0,0,0
453,9.2,3,0.4,0.8,2.2600000000000002,0.4,0,0
743,0.0,3,0.0,0.0,0.0,0.0,0,0
829,9.0,3,0.2,0.9199999999999999,1.28,1.0,0,0
267,60.0,3,3.4,17.720000000000002,8.24,9.8,2,0
268,0.0,3,0.0,0.0,0.0,0.0,0,0
269,0.0,3,0.0,0.0,0.0,0.0,0,0
270,29.8,3,0.6,5.8,5.38,4.2,0,0
271,57.0,3,1.6,7.12,11.16,8.6,0,0
272,59.2,3,1.4,9.559999999999999,6.24,7.6,0,0
273,54.2,3,3.6,17.68,25.919999999999998,14.0,1,0
274,0.0,3,0.0,0.0,0.0,0.0,0,0
275,0.0,3,0.0,0.0,0.0,0.0,0,0
276,36.0,3,1.2,5.640000000000001,1.3199999999999998,4.8,0,0
277,0.0,3,0.0,0.0,0.0,0.0,0,0
278,0.0,3,0.0,0.0,0.0,0.0,0,0
279,0.0,3,0.0,0.0,0.0,0.0,0,0
280,0.0,3,0.0,0.0,0.0,0.0,0,0
281,0.0,3,0.0,0.0,0.0,0.0,0,0
282,0.0,3,0.0,0.0,0.0,0.0,0,0
283,30.2,4,2.8,15.12,5.26,12.0,2,0
284,0.0,4,0.0,0.0,0.0,0.0,0,0
285,0.0,4,0.0,0.0,0.0,0.0,0,0
286,0.0,4,0.0,0.0,0.0,0.0,0,0
580,57.6,3,1.4,4.24,8.7,4.8,0,0
654,58.8,4,1.8,4.36,5.92,5.2,0,0
677,5.8,3,0.4,0.5199999999999999,0.16,1.2,0,0
690,18.0,3,0.4,3.04,6.0,4.2,0,0
712,38.8,3,1.4,6.5200000000000005,11.319999999999999,6.8,0,1
732,0.0,4,0.0,0.0,0.0,0.0,0,0
762,0.0,3,0.0,0.0,0.0,0.0,0,0
